Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,SNI,Category
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,111.42.186.240,172.20.160.113,443,61628,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.42.186.240,61628,443,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61746,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61745,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,1.1.1.1,172.20.160.113,443,63044,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61759,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61746,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61745,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61759,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61753,853,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,111.31.33.21,61734,443,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61746,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61745,TCP,,Unclassified
2024-10-09 17:35:54,111.31.33.21,172.20.160.113,443,61734,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61753,TCP,,Unclassified
2024-10-09 17:35:54,8.8.4.4,172.20.160.113,853,61759,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,63044,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.4.4,61763,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,8.8.8.8,61764,443,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,223.5.5.5,62860,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,223.5.5.5,62861,53,UDP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.1.1.1,61765,853,TCP,,Unclassified
2024-10-09 17:35:54,172.20.160.113,1.0.0.1,52927,443,TCP,,Unclassified
